,Age,Gender,Race,Offenses Severity,Arrest Time of Day,Arrest Hour,Arrest Day of Week,Arrest Date,Arrest Month,Arrest Year,Temperature Range,Temperature,Weather Condition,Incident Location,Incident Latitude,Incident Longitude,Incident Neighborhood,Incident Zone
0,24.0,F,B,Misdemeanor,Evening (9-12am),21,Friday,12,February,2016,20s,20.53,Mostly Cloudy,"1100 Block McKinney LANE Pittsburgh, PA 15205",40.42352927,-80.03503378,Ridgemont,6
1,31.0,M,W,Misdemeanor,Early Afternoon (1-4pm),15,Wednesday,17,February,2016,30s,32.76,Overcast,"800 Block Concord ST Pittsburgh, PA 15212",40.45756351,-79.99792377,East Allegheny,1
2,36.0,M,W,Misdemeanor,Early Morning (12-3am),2,Friday,08,April,2016,30s,39.39,Overcast,"Boyd ST & Diamond ST Pittsburgh, PA 15219",40.43865608,-79.99329301,Bluff,2
3,60.0,M,W,Misdemeanor,Late Morning (9am-12pm),9,Sunday,10,April,2016,30s,32.63,Overcast,"Forbes AV & Armstrong TUN Pittsburgh, PA 15219",40.43797104,-79.99205197,Bluff,2
4,54.0,M,B,Misdemeanor,Early Morning (12-3am),1,Tuesday,12,April,2016,40s,47.32,Clear,"1600 Block Forbes AV Pittsburgh, PA 15219",40.43737728,-79.98386974,Bluff,2
5,20.0,M,B,Felony,Early Evening (5-8pm),19,Tuesday,12,April,2016,40s,47.32,Clear,"400 Block Wood ST Pittsburgh, PA 15219",40.43937546,-80.00122331,Central Business District,2
6,29.0,M,W,Felony,Early Evening (5-8pm),20,Wednesday,13,April,2016,40s,48.68,Clear,"1000 Block Fort Duquesne BL Pittsburgh, PA 15222",40.44551089,-79.99524489,Central Business District,2
7,27.0,F,W,Felony,Early Evening (5-8pm),20,Wednesday,13,April,2016,40s,48.68,Clear,"1000 Block Fort Duquesne BL Pittsburgh, PA 15222",40.44551089,-79.99524489,Central Business District,2
8,31.0,M,W,Felony,Early Evening (5-8pm),20,Wednesday,13,April,2016,40s,48.68,Clear,"1000 Block Fort Duquesne BL Pittsburgh, PA 15222",40.44551089,-79.99524489,Central Business District,2
9,52.0,M,B,Misdemeanor,Evening (9-12am),23,Wednesday,13,April,2016,40s,48.68,Clear,"3000 Block Wadlow ST Pittsburgh, PA 15212",40.47198755,-80.02928181,Marshall-Shadeland,1
10,36.0,F,W,Felony,Early Evening (5-8pm),17,Sunday,24,April,2016,60s,61.07,Clear,"800 Block Monteiro ST Pittsburgh, PA 15217",40.42649286,-79.93588071,Greenfield,4
11,28.0,M,B,Felony,Early Evening (5-8pm),17,Thursday,07,July,2016,70s,75.49,Overcast,"100 Block Penfort ST Pittsburgh, PA 15214",40.473349600000006,-80.00282222,Northview Heights,1
12,24.0,M,B,Misdemeanor,Early Evening (5-8pm),17,Thursday,07,July,2016,70s,75.49,Overcast,"100 Block Penfort ST Pittsburgh, PA 15214",40.473349600000006,-80.00282222,Northview Heights,1
13,39.0,F,U,Misdemeanor,Early Afternoon (1-4pm),15,Monday,11,July,2016,80s,82.07,Clear,"2600 Block Brownsville RD Pittsburgh, PA 15227",40.38544231,-79.97880106,Carrick,3
14,35.0,M,W,Misdemeanor,Early Evening (5-8pm),17,Saturday,16,July,2016,70s,78.5,Partly Cloudy,"Elba ST & Junilla ST Pittsburgh, PA 15219",40.44627028,-79.97072972,Middle Hill,2
15,53.0,M,W,Misdemeanor,Early Evening (5-8pm),20,Monday,18,July,2016,70s,78.84,Mostly Cloudy,"E Carson ST & S 13th ST Pittsburgh, PA 15203",40.42877496,-79.98532709999999,South Side Flats,3
16,57.0,M,B,Felony,Early Morning (12-3am),4,Wednesday,20,July,2016,70s,78.56,Clear,"2300 Block Park Hill DR Pittsburgh, PA 15221",40.45475038,-79.87407838,East Hills,5
17,20.0,M,B,Felony,Early Afternoon (1-4pm),15,Friday,22,July,2016,70s,76.98,Overcast,"5th AV & Robinson ST Pittsburgh, PA 15213",40.43774389,-79.96535778,West Oakland,4
18,35.0,M,W,Misdemeanor,Morning (4-8am),8,Monday,25,July,2016,80s,89.61,Humid and Mostly Cloudy,"Washington PL & 5th AV Pittsburgh, PA 15219",40.43880171,-79.99084692,Golden Triangle/Civic Arena,2
19,29.0,F,W,Misdemeanor,Evening (9-12am),21,Friday,29,July,2016,70s,77.43,Overcast,"Cedar AV & Foreland ST Pittsburgh, PA 15212",40.45408043,-80.00193876,Allegheny Center,1
20,52.0,F,B,Misdemeanor,Early Evening (5-8pm),17,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"Baum BL & Woodworth ST Pittsburgh, PA 15224",40.45567192,-79.94287456,Bloomfield,5
21,24.0,M,B,Misdemeanor,Early Afternoon (1-4pm),16,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"Superior AV & Shadeland AV Pittsburgh, PA 15212",40.46805229,-80.02970655,Marshall-Shadeland,1
22,47.0,M,B,Misdemeanor,Evening (9-12am),21,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"1500 Block Westmoreland ST Pittsburgh, PA 15206",40.46824722,-79.89459035,Lincoln-Lemington-Belmar,5
23,37.0,M,W,Misdemeanor,Evening (9-12am),23,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"3400 Block Fleming AV Pittsburgh, PA 15212",40.47698002,-80.03815717,Brighton Heights,1
24,50.0,M,B,Misdemeanor,Early Afternoon (1-4pm),14,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"1600 Block Sandusky CT Pittsburgh, PA 15212",40.45893258,-80.00544754,Fineview,1
25,35.0,M,W,Misdemeanor,Early Afternoon (1-4pm),16,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"Smithfield ST & 4th AV Pittsburgh, PA 15222",40.43872472,-79.99954394,Golden Triangle/Civic Arena,2
26,36.0,M,W,Misdemeanor,Evening (9-12am),23,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"3400 Block Fleming AV Pittsburgh, PA 15212",40.47698002,-80.03815717,Brighton Heights,1
27,26.0,M,B,Misdemeanor,Early Afternoon (1-4pm),14,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"Fireman WY & Leduc WY Pittsburgh, PA 15212",40.45769415,-80.00896768,Central Northside,1
28,26.0,M,W,Misdemeanor,Early Evening (5-8pm),19,Monday,01,August,2016,80s,82.15,Mostly Cloudy,"Wyoming ST & E Sycamore ST Pittsburgh, PA 15211",40.43027051,-80.00645947,Mount Washington,3
29,33.0,M,W,Felony,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
30,23.0,F,W,Felony,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
31,27.0,M,B,Misdemeanor,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"2000 Block Arlington AV Pittsburgh, PA 15210",40.41778816,-79.97826885,South Side Slopes,3
32,47.0,F,B,Misdemeanor,Early Afternoon (1-4pm),16,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"7100 Block Frankstown AV Pittsburgh, PA 15208",40.45783765,-79.89848267,Homewood South,5
33,45.0,F,B,Misdemeanor,Evening (9-12am),22,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"1000 Block N Negley AV Pittsburgh, PA 15206",40.47427554,-79.92472807,Highland Park,5
34,24.0,M,B,Felony,Early Morning (12-3am),1,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"2100 Block Park Hill DR Pittsburgh, PA 15221",40.45295266,-79.8740214,East Hills,5
35,33.0,M,B,Misdemeanor,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"Bausman ST & E Amanda AV Pittsburgh, PA 15210",40.41443424,-79.9880386,Knoxville,3
36,32.0,F,W,Misdemeanor,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"Bausman ST & E Amanda AV Pittsburgh, PA 15210",40.41443424,-79.9880386,Knoxville,3
37,59.0,M,B,Felony,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
38,33.0,F,W,Felony,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"6800 Block Frankstown AV Pittsburgh, PA 15208",40.45810133,-79.90598029,Homewood West,5
39,48.0,M,B,Misdemeanor,Late Morning (9am-12pm),12,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"2000 Block De Ruad ST Pittsburgh, PA 15219",40.45167392,-80.04190688,West Oakland,4
40,18.0,F,B,Misdemeanor,Early Morning (12-3am),3,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"2600 Block Mackinaw AV Pittsburgh, PA 15216",40.40034737,-80.02702089,Beechview,6
41,67.0,M,B,Misdemeanor,Early Morning (12-3am),4,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"2600 Block Centre AV Pittsburgh, PA 15219",40.446533,-79.96841687,Terrace Village,2
42,18.0,M,B,Misdemeanor,Early Afternoon (1-4pm),14,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"300 Block Moore AV Pittsburgh, PA 15210",40.41135213,-79.99300674,Knoxville,3
43,47.0,M,B,Misdemeanor,Early Evening (5-8pm),19,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"600 Block Singer PL Pittsburgh, PA 15221",40.44724482,-79.88257068,East Hills,5
44,22.0,F,B,Misdemeanor,Early Morning (12-3am),3,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"2600 Block Mackinaw AV Pittsburgh, PA 15216",40.40034737,-80.02702089,Beechview,6
45,43.0,M,B,Misdemeanor,Early Morning (12-3am),4,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"100 Block Rhine PL Pittsburgh, PA 15212",40.4667862,-79.99409859,Spring Hill-City View,1
46,37.0,F,W,Misdemeanor,Early Evening (5-8pm),18,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"Cedar AV & Foreland ST Pittsburgh, PA 15212",40.45408043,-80.00193876,Allegheny Center,1
47,52.0,F,B,Felony,Evening (9-12am),21,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"1100 Block 2nd AV Pittsburgh, PA 15282",40.43498814,-79.99278589,Golden Triangle/Civic Arena,2
48,50.0,F,B,Misdemeanor,Early Evening (5-8pm),19,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"600 Block Singer PL Pittsburgh, PA 15221",40.44724482,-79.88257068,East Hills,5
49,56.0,F,B,Misdemeanor,Early Morning (12-3am),4,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"2600 Block Centre AV Pittsburgh, PA 15219",40.446533,-79.96841687,Terrace Village,2
50,34.0,M,W,Misdemeanor,Early Evening (5-8pm),18,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"Cedar AV & Foreland ST Pittsburgh, PA 15212",40.45408043,-80.00193876,Allegheny Center,1
51,31.0,M,W,Felony,Early Morning (12-3am),2,Tuesday,02,August,2016,80s,82.64,Partly Cloudy,"100 Block Southern AV Pittsburgh, PA 15211",40.42704095,-80.0091631,Mount Washington,3
52,31.0,M,W,Misdemeanor,Early Afternoon (1-4pm),14,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"4200 Block Steubenville PKE Pittsburgh, PA 15205",40.44013633,-80.08801806,Outside City,OSC
53,63.0,F,B,Felony,Early Afternoon (1-4pm),16,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"900 Block Freeport RD Fox Chapel, PA 15238",40.48662475,-79.89180294,Westwood,5
54,36.0,M,B,Misdemeanor,Early Afternoon (1-4pm),16,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"1400 Block Crucible ST Pittsburgh, PA 15220",40.44859775,-80.04968352,Crafton Heights,6
55,29.0,M,B,Misdemeanor,Early Evening (5-8pm),18,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"5200 Block Interboro AV Pittsburgh, PA 15207",40.37023724,-79.91291244,Lincoln Place,4
56,25.0,M,B,Misdemeanor,Evening (9-12am),23,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"1200 Block W North AV Pittsburgh, PA 15233",40.45288835,-80.0223566,Manchester,1
57,36.0,M,W,Felony,Early Evening (5-8pm),17,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"S 27th ST & Edwards WY Pittsburgh, PA 15203",40.42412118,-79.9684558,South Side Slopes,3
58,34.0,M,B,Misdemeanor,Late Morning (9am-12pm),11,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"N Murtland ST & Upland ST Pittsburgh, PA 15208",40.46315435,-79.89930494,Homewood West,5
59,57.0,M,B,Misdemeanor,Early Evening (5-8pm),20,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"W Warrington AV & Boggs AV Pittsburgh, PA 15226",40.41560949,-80.01109220000001,Mount Washington,3
60,32.0,M,B,Misdemeanor,Early Morning (12-3am),2,Wednesday,03,August,2016,80s,82.5,Partly Cloudy,"Tony Dorsett DR & North Shore DR Pittsburgh, PA 15212",40.44616606,-80.00988899,North Shore,1
61,19.0,F,B,Felony,Evening (9-12am),22,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"1300 Block Chartiers AV Pittsburgh, PA 15220",40.44758823,-80.04376167,Elliott,6
62,26.0,F,W,Misdemeanor,Late Morning (9am-12pm),12,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
63,51.0,M,W,Felony,Morning (4-8am),6,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"50 Block 11th ST Pittsburgh, PA 15222",40.42895953,-79.98767223,Golden Triangle/Civic Arena,2
64,20.0,F,B,Misdemeanor,Evening (9-12am),22,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"1300 Block Chartiers AV Pittsburgh, PA 15220",40.44758823,-80.04376167,Elliott,6
65,18.0,M,B,Felony,Early Evening (5-8pm),17,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"Woodland AV & Stayton ST Pittsburgh, PA 15212",40.46959761,-80.02733457,Marshall-Shadeland,1
66,29.0,F,W,Misdemeanor,Early Evening (5-8pm),18,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"200 Block Federal ST Pittsburgh, PA 15212",40.44841334,-80.00396022,North Shore,1
67,28.0,M,B,Misdemeanor,Late Morning (9am-12pm),12,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
68,71.0,F,B,Misdemeanor,Early Afternoon (1-4pm),14,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"400 Block Grant ST Pittsburgh, PA 15219",40.43839262,-79.99754951,Golden Triangle/Civic Arena,2
69,20.0,F,B,Misdemeanor,Early Evening (5-8pm),20,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"1800 Block Bedford AV Pittsburgh, PA 15219",40.44517821,-79.98540111,Crawford-Roberts,2
70,20.0,M,B,Misdemeanor,Early Evening (5-8pm),19,Thursday,04,August,2016,80s,80.46,Mostly Cloudy,"Frankstown AV & East Hills DR Pittsburgh, PA 15221",40.46117979,-79.87041082,East Hills,5
71,25.0,F,W,Misdemeanor,Early Morning (12-3am),2,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"Foreland ST & Cedar AV Pittsburgh, PA 15212",40.45408043,-80.00193876,East Allegheny,1
72,25.0,F,B,Misdemeanor,Early Afternoon (1-4pm),14,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"3200 Block Faronia ST Pittsburgh, PA 15204",40.45160189,-80.06635734,Sheraden,6
73,25.0,F,B,Misdemeanor,Early Afternoon (1-4pm),15,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"5800 Block Forward AV Pittsburgh, PA 15217",40.429595500000005,-79.92335695,Squirrel Hill South,4
74,30.0,M,W,Misdemeanor,Early Morning (12-3am),2,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"100 Block 7th ST Pittsburgh, PA 15222",40.44413678,-80.00099348,Golden Triangle/Civic Arena,2
75,31.0,M,B,Misdemeanor,Late Morning (9am-12pm),11,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"600 Block Wood ST Pittsburgh, PA 15222",40.44209205,-79.99942351,Golden Triangle/Civic Arena,2
76,50.0,M,B,Misdemeanor,Early Afternoon (1-4pm),16,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"5900 Block Penn CIR Pittsburgh, PA 15206",40.46163081,-79.92678426,Shadyside,4
77,21.0,M,W,Misdemeanor,Late Morning (9am-12pm),11,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
78,42.0,F,W,Misdemeanor,Early Afternoon (1-4pm),15,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"2700 Block West Liberty AV Pittsburgh, PA 15226",40.45484762,-79.97561429999999,Brookline,6
79,42.0,M,W,Misdemeanor,Early Afternoon (1-4pm),15,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"5800 Block Forward AV Pittsburgh, PA 15217",40.429595500000005,-79.92335695,Squirrel Hill South,4
80,29.0,F,B,Felony,Early Morning (12-3am),2,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
81,29.0,M,W,Misdemeanor,Evening (9-12am),21,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"6400 Block Frankstown AV Pittsburgh, PA 15206",40.46077054,-79.915653,Larimer,5
82,22.0,M,B,Misdemeanor,Early Evening (5-8pm),17,Friday,05,August,2016,80s,82.72,Mostly Cloudy,"3300 Block Delaware ST Pittsburgh, PA 15214",40.48030923,-80.01137243,Perry North,1
83,25.0,M,B,Felony,Early Morning (12-3am),2,Saturday,06,August,2016,80s,80.12,Overcast,"900 Block Woodlow ST Pittsburgh, PA 15205",40.44589982,-80.05220414,Crafton Heights,5
84,49.0,M,B,Misdemeanor,Early Evening (5-8pm),20,Saturday,06,August,2016,80s,80.12,Overcast,"4900 Block Dearborn ST Pittsburgh, PA 15224",40.46599243,-79.94500921,Garfield,5
85,32.0,M,W,Misdemeanor,Early Afternoon (1-4pm),15,Saturday,06,August,2016,80s,80.12,Overcast,"200 Block Bon Air AV Pittsburgh, PA 15210",40.41076029999999,-80.00230997,Bon Air,3
86,37.0,M,W,Misdemeanor,Early Morning (12-3am),1,Saturday,06,August,2016,80s,80.12,Overcast,"1700 Block E Carson ST Pittsburgh, PA 15203",40.4285852,-79.98186901,South Side Flats,3
87,23.0,M,W,Misdemeanor,Early Morning (12-3am),1,Saturday,06,August,2016,80s,80.12,Overcast,"S 15th ST & E Carson ST Pittsburgh, PA 15203",40.42881518,-79.98342493,South Side Flats,3
88,24.0,M,W,Misdemeanor,Early Morning (12-3am),4,Saturday,06,August,2016,80s,80.12,Overcast,"1000 Block E Carson ST Pittsburgh, PA 15203",40.44091666,-80.02039221,South Side Flats,3
89,40.0,M,W,Misdemeanor,Early Afternoon (1-4pm),15,Saturday,06,August,2016,80s,80.12,Overcast,"700 Block Rossmore AV Pittsburgh, PA 15226",40.39588945,-80.02012655,Brookline,6
90,35.0,M,W,Misdemeanor,Early Morning (12-3am),1,Saturday,06,August,2016,80s,80.12,Overcast,"Hazlip WY & Mace WY Pittsburgh, PA 15212",40.45834465,-80.00704917,Central Northside,1
91,32.0,M,B,Misdemeanor,Early Morning (12-3am),3,Saturday,06,August,2016,80s,80.12,Overcast,"2200 Block East Hills DR Pittsburgh, PA 15221",40.45388109,-79.87302988,East Hills,5
92,31.0,M,W,Felony,Late Morning (9am-12pm),11,Saturday,06,August,2016,80s,80.12,Overcast,"500 Block Norton ST Pittsburgh, PA 15211",40.42482426,-80.01267544,Mount Washington,3
93,26.0,M,B,Felony,Early Afternoon (1-4pm),16,Saturday,06,August,2016,80s,80.12,Overcast,"Beltzhoover AV & Freeland ST Pittsburgh, PA 15210",40.41910754,-79.99731368,Allentown,3
94,40.0,M,B,Felony,Early Morning (12-3am),1,Saturday,06,August,2016,80s,80.12,Overcast,"700 Block Proctor WY Pittsburgh, PA 15210",40.42030248,-79.99576971,Allentown,3
95,25.0,M,B,Misdemeanor,Early Evening (5-8pm),17,Saturday,06,August,2016,80s,80.12,Overcast,"1800 Block Bedford AV Pittsburgh, PA 15219",40.44517821,-79.98540111,Crawford-Roberts,2
96,28.0,F,B,Misdemeanor,Early Morning (12-3am),2,Saturday,06,August,2016,80s,80.12,Overcast,"Dudley CT Pittsburgh, PA 15206",40.4608466,-79.91944079,East Liberty,5
97,45.0,M,W,Misdemeanor,Early Afternoon (1-4pm),13,Sunday,07,August,2016,80s,80.16,Clear,"300 Block Newett ST Pittsburgh, PA 15210",40.39655765,-79.99171209,Carrick,3
98,48.0,F,B,Misdemeanor,Early Morning (12-3am),3,Sunday,07,August,2016,80s,80.16,Clear,"1000 Block Sheffield ST Pittsburgh, PA 15233",40.45410332,-80.01979575,Manchester,1
99,49.0,M,W,Felony,Early Evening (5-8pm),18,Sunday,07,August,2016,80s,80.16,Clear,"S 25th ST & Jane ST Pittsburgh, PA 15203",40.42613511,-79.97060868,South Side Flats,3
100,16.0,M,B,Misdemeanor,Early Evening (5-8pm),20,Sunday,07,August,2016,80s,80.16,Clear,"6th ST & Penn AV Pittsburgh, PA 15222",40.442741999999996,-80.00214966,Golden Triangle/Civic Arena,2
101,18.0,M,B,Misdemeanor,Evening (9-12am),22,Sunday,07,August,2016,80s,80.16,Clear,"Liberty AV & Market ST Pittsburgh, PA 15222",40.44192378,-80.00179440000001,Golden Triangle/Civic Arena,2
102,21.0,M,B,Felony,Early Morning (12-3am),3,Sunday,07,August,2016,80s,80.16,Clear,"E Carson ST & S 17th ST Pittsburgh, PA 15203",40.42883493,-79.98204758,South Side Flats,3
103,16.0,M,B,Felony,Early Evening (5-8pm),20,Sunday,07,August,2016,80s,80.16,Clear,"Market ST & Liberty AV Pittsburgh, PA 15222",40.44192378,-80.00179440000001,Golden Triangle/Civic Arena,2
104,41.0,M,B,Misdemeanor,Early Morning (12-3am),2,Sunday,07,August,2016,80s,80.16,Clear,"Silver Lake DR & Washington BL Pittsburgh, PA 15206",40.46225948,-79.90559538,Homewood West,5
105,32.0,F,W,Misdemeanor,Early Morning (12-3am),2,Sunday,07,August,2016,80s,80.16,Clear,"1800 Block Banksville RD Pittsburgh, PA 15216",40.40892293,-80.03227740000001,Beechview,6
106,13.0,F,B,Felony,Evening (9-12am),22,Sunday,07,August,2016,80s,80.16,Clear,"Nolan CT & Mohler ST Pittsburgh, PA 15221",40.45941134,-79.88696529,Homewood North,5
107,26.0,M,B,Misdemeanor,Morning (4-8am),6,Sunday,07,August,2016,80s,80.16,Clear,"2300 Block East Hills DR Pittsburgh, PA 15221",40.45656464,-79.87136146,East Hills,5
108,48.0,M,B,Misdemeanor,Early Morning (12-3am),2,Sunday,07,August,2016,80s,80.16,Clear,"Jacksonia ST & Monterey ST Pittsburgh, PA 15212",40.45716751,-80.01353515,Central Northside,1
109,26.0,F,O,Misdemeanor,Early Evening (5-8pm),19,Sunday,07,August,2016,80s,80.16,Clear,"1100 Block Roundtop ST Pittsburgh, PA 15205",40.441810499999995,-80.05438395,Crafton Heights,6
110,28.0,M,W,Misdemeanor,Early Evening (5-8pm),19,Monday,08,August,2016,70s,76.72,Clear,"2100 Block Brownsville RD Pittsburgh, PA 15210",40.39183252,-79.98735091,Carrick,3
111,59.0,M,W,Misdemeanor,Early Morning (12-3am),1,Monday,08,August,2016,70s,76.72,Clear,"1500 Block Edgebrook AV Pittsburgh, PA 15226",40.40189932,-80.00197543,Brookline,6
112,52.0,M,W,Misdemeanor,Early Morning (12-3am),3,Monday,08,August,2016,70s,76.72,Clear,"1300 Block Chartiers AV Pittsburgh, PA 15220",40.44758823,-80.04376167,Elliott,6
113,27.0,F,B,Misdemeanor,Early Afternoon (1-4pm),15,Monday,08,August,2016,70s,76.72,Clear,"200 Block Atwood ST Pittsburgh, PA 15213",40.44042041,-79.95688887,Central Oakland,4
114,53.0,F,B,Felony,Early Evening (5-8pm),18,Monday,08,August,2016,70s,76.72,Clear,"300 Block 6th AV Pittsburgh, PA 15222",40.44165074,-79.99945175,Golden Triangle/Civic Arena,2
115,44.0,F,B,Misdemeanor,Early Morning (12-3am),2,Monday,08,August,2016,70s,76.72,Clear,"Three Rivers Heritage TRL Pittsburgh, PA 15219",0.0,0.0,South Side Flats,3
116,34.0,M,W,Misdemeanor,Early Morning (12-3am),2,Monday,08,August,2016,70s,76.72,Clear,"Greentree RD & Mc Knight ST Pittsburgh, PA 15220",40.43537738,-80.03387785,West End,6
117,44.0,M,B,Misdemeanor,Late Morning (9am-12pm),10,Monday,08,August,2016,70s,76.72,Clear,"SIXTH PENN GARAGE Pittsburgh, PA 15219",0.0,0.0,Golden Triangle/Civic Arena,2
118,29.0,M,B,Misdemeanor,Early Evening (5-8pm),18,Monday,08,August,2016,70s,76.72,Clear,"4900 Block Centre AV Pittsburgh, PA 15213",40.45313509,-79.94663115,Shadyside,4
119,34.0,M,W,Misdemeanor,Evening (9-12am),21,Monday,08,August,2016,70s,76.72,Clear,"2000 Block Penn AV Pittsburgh, PA 15222",40.45097636,-79.98357825,Strip District,2
120,22.0,M,B,Misdemeanor,Early Afternoon (1-4pm),15,Monday,08,August,2016,70s,76.72,Clear,"200 Block Atwood ST Pittsburgh, PA 15213",40.44042041,-79.95688887,Central Oakland,4
121,29.0,M,W,Misdemeanor,Early Afternoon (1-4pm),16,Monday,08,August,2016,70s,76.72,Clear,"6200 Block Penn AV Pittsburgh, PA 15206",40.46059432,-79.92271679,East Liberty,5
122,39.0,M,B,Misdemeanor,Evening (9-12am),23,Monday,08,August,2016,70s,76.72,Clear,"3100 Block Landis ST Pittsburgh, PA 15204",40.45647359,-80.05559692,Sheraden,6
123,18.0,M,B,Felony,Early Afternoon (1-4pm),14,Monday,08,August,2016,70s,76.72,Clear,"400 Block Mt Pleasant RD Pittsburgh, PA 15214",40.47982925,-80.00190144,Northview Heights,1
124,25.0,M,B,Misdemeanor,Early Evening (5-8pm),19,Tuesday,09,August,2016,80s,84.44,Mostly Cloudy,"200 Block Reifert ST Pittsburgh, PA 15210",40.40808736,-79.99214690000001,Knoxville,3
125,20.0,M,B,Misdemeanor,Early Afternoon (1-4pm),15,Tuesday,09,August,2016,80s,84.44,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
126,25.0,M,U,Felony,Early Morning (12-3am),1,Tuesday,09,August,2016,80s,84.44,Mostly Cloudy,"300 Block West Penn PL Pittsburgh, PA 15224",40.45494869,-80.00964027,Bloomfield,5
127,45.0,M,B,Felony,Early Morning (12-3am),4,Tuesday,09,August,2016,80s,84.44,Mostly Cloudy,"200 Block Atwood ST Pittsburgh, PA 15213",40.44042041,-79.95688887,Central Oakland,4
128,28.0,M,B,Misdemeanor,Late Morning (9am-12pm),12,Tuesday,09,August,2016,80s,84.44,Mostly Cloudy,"Kelly ST & Fifth AV Pittsburgh, PA 15208",40.45814136,-79.90843298,Homewood West,5
129,37.0,M,W,Misdemeanor,Early Evening (5-8pm),17,Tuesday,09,August,2016,80s,84.44,Mostly Cloudy,"300 Block Cedar AV Pittsburgh, PA 15212",40.45089272,-80.00084389,East Allegheny,1
