Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/17,16009,50761,206624,1237,33
1/2/17,8921,21545,206675,142,15
1/3/17,14198,25879,206728,42,15
1/4/17,34039,69966,206778,475,29
1/5/17,28393,52446,206845,214,17
1/6/17,24177,48964,206879,157,17
1/7/17,4425,23556,206892,21,4
1/8/17,6417,22756,206907,27,2
1/9/17,15856,35209,206933,30,2
1/10/17,23232,46216,206955,67,12
1/11/17,32419,63099,206981,208,37
1/12/17,39783,84763,207021,479,30
1/13/17,33611,75847,207059,373,43
1/14/17,13819,43090,207087,252,33
1/15/17,17384,50738,207120,476,19
1/16/17,24110,51664,207163,448,30
1/17/17,18646,40697,207198,63,15
1/18/17,30857,57978,207224,146,17
1/19/17,36561,72077,207262,391,27
1/20/17,26752,56479,207288,184,19
1/21/17,26610,64662,207336,957,31
1/22/17,20523,49368,207368,520,25
1/23/17,15822,37687,207399,54,20
1/24/17,13171,35619,207414,28,5
1/25/17,36931,71418,207453,301,29
1/26/17,33002,63750,207501,223,28
1/27/17,32394,70189,207540,231,23
1/28/17,21302,53955,207567,402,25
1/29/17,22527,62854,207620,585,26
1/30/17,29616,59975,207673,163,32
1/31/17,25169,48684,207706,62,19
2/1/17,35221,77639,207749,194,22
2/2/17,34517,70727,207793,216,27
2/3/17,29632,64701,207825,181,32
2/4/17,19204,45120,207861,413,14
2/5/17,20059,50532,207890,337,19
2/6/17,33415,72513,207930,305,49
2/7/17,23053,57760,207962,54,17
2/8/17,40428,90430,208011,483,32
2/9/17,0,0,208018,0,0
2/10/17,1997,8344,208030,15,1
2/11/17,8959,26272,208037,170,13
2/12/17,5801,26468,208054,26,5
2/13/17,23857,58710,208076,72,18
2/14/17,29668,78530,208099,154,16
2/15/17,32052,72383,208137,170,30
2/16/17,29120,63551,208163,104,16
2/17/17,28735,67530,208200,247,37
2/18/17,30571,99126,208258,2078,114
2/19/17,36963,125166,208347,3746,122
2/20/17,32292,91412,208436,1512,75
2/21/17,32643,84767,208516,308,48
2/22/17,38119,90651,208594,439,36
2/23/17,42434,98554,208658,828,88
2/24/17,47031,117155,208767,1534,119
2/25/17,33345,104309,208886,2035,77
2/26/17,24713,75196,208966,849,33
2/27/17,35984,80194,209035,388,42
2/28/17,41835,92642,209119,504,60
3/1/17,40592,85944,209229,393,51
3/2/17,35739,73839,209310,320,44
3/3/17,31105,68702,209370,292,39
3/4/17,15646,43108,209404,252,14
3/5/17,15919,50924,209451,312,22
3/6/17,32467,72776,209536,321,39
3/7/17,29683,63654,209587,181,29
3/8/17,43470,101573,209656,694,55
3/9/17,45251,99450,209728,764,34
3/10/17,18412,41971,209758,95,15
3/11/17,15185,48379,209781,183,27
3/12/17,13442,38114,209799,167,9
3/13/17,27417,58768,209827,205,14
3/14/17,0,0,209843,0,0
3/15/17,0,0,209859,0,0
3/16/17,0,0,209870,0,0
3/17/17,7098,25393,209888,151,15
3/18/17,4106,17446,209910,93,6
3/19/17,10550,33344,209943,339,21
3/20/17,27378,60363,210002,288,21
3/21/17,36824,78104,210073,479,47
3/22/17,26927,55713,210121,140,15
3/23/17,29885,74345,210160,291,25
3/24/17,34019,82681,210199,485,39
3/25/17,29647,86293,210267,1721,60
3/26/17,19893,55139,210318,546,30
3/27/17,26301,59614,210388,318,40
3/28/17,21590,46003,210448,91,20
3/29/17,42430,91525,210559,830,97
3/30/17,39746,91041,210623,669,61
3/31/17,6946,23462,210670,20,5
