Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
7/1/17,36737,107126,228157,2828,372
7/2/17,43035,128397,228306,4314,458
7/3/17,48193,130240,228473,3243,316
7/4/17,49924,146441,228669,4929,315
7/5/17,60321,149487,228908,1886,267
7/6/17,62147,140767,229085,1646,264
7/7/17,44068,103656,229241,1283,216
7/8/17,55015,146438,229453,4138,333
7/9/17,57118,159914,229680,4471,340
7/10/17,60908,141463,229933,1546,359
7/11/17,61670,141463,230159,1269,227
7/12/17,61786,132874,230336,1376,179
7/13/17,56475,126527,230514,1322,180
7/14/17,31851,70477,230610,570,101
7/15/17,56499,148067,230772,4761,378
7/16/17,56833,153666,230981,4497,308
7/17/17,62555,141323,231225,1675,289
7/18/17,66234,144623,231416,1724,243
7/19/17,63916,143277,231603,1617,267
7/20/17,59665,131871,231741,1439,229
7/21/17,60074,136330,231882,1929,304
7/22/17,48013,124272,232049,3634,332
7/23/17,46945,117035,232212,3164,249
7/24/17,43793,104460,232359,989,113
7/25/17,65339,148542,232521,1549,285
7/26/17,70329,168603,232674,2054,248
7/27/17,65773,144443,232820,1666,214
7/28/17,63911,151514,232984,2293,297
7/29/17,52955,132509,233138,4085,324
7/30/17,59364,165423,233360,5214,376
7/31/17,64231,153123,233614,1862,263
8/1/17,66676,147654,233824,1813,272
8/2/17,56179,122622,233958,3291,139
8/3/17,66144,146858,234160,1849,257
8/4/17,56391,128749,234312,2212,325
8/5/17,58966,169511,234524,5299,415
8/6/17,56473,161492,234715,4686,292
8/7/17,23395,55927,234851,249,34
8/8/17,65228,145901,235084,1738,331
8/9/17,67874,170524,235283,1952,300
8/10/17,66245,151415,235457,1834,262
8/11/17,63134,147098,235623,2360,358
8/12/17,60531,173581,235890,5409,405
8/13/17,57511,162040,236098,4755,337
8/14/17,61460,139535,236328,1816,294
8/15/17,52460,105695,236504,948,125
8/16/17,68434,159032,236681,1905,251
8/17/17,66654,156810,236872,2087,261
8/18/17,36619,90704,236984,840,124
8/19/17,62440,186037,237324,5992,461
8/20/17,55438,147379,237518,4218,313
8/21/17,61055,138059,237710,1832,277
8/22/17,60541,133409,237878,1477,260
8/23/17,65069,141360,238057,1712,219
8/24/17,66306,151449,238257,1820,315
8/25/17,64217,156344,238406,2316,325
8/26/17,50111,132832,238546,3621,214
8/27/17,54594,145524,238771,4135,278
8/28/17,60885,133126,239016,1616,272
8/29/17,35151,67448,239163,424,104
8/30/17,65328,147325,239347,1760,309
8/31/17,64881,144852,239519,1727,260
9/1/17,54881,129382,239653,1775,294
9/2/17,37810,107949,239785,3359,420
9/3/17,30955,83988,239906,2394,175
9/4/17,55284,164623,240126,5298,362
9/5/17,65443,140362,240378,1607,265
9/6/17,42318,86395,240541,445,90
9/7/17,69571,148669,240750,1542,356
9/8/17,69616,154397,240903,1976,322
9/9/17,60187,150847,241108,4196,272
9/10/17,60750,154588,241329,4056,301
9/11/17,71964,166177,241563,1992,276
9/12/17,74623,161263,241775,1737,238
9/13/17,69616,146802,241991,1471,199
9/14/17,72128,150535,242211,1551,244
9/15/17,72361,160138,242393,2088,323
9/16/17,61077,156839,242552,4304,297
9/17/17,60003,156834,242748,3869,229
9/18/17,64207,138078,242968,1387,190
9/19/17,57977,115451,243128,914,146
9/20/17,71222,150377,243309,1385,202
9/21/17,67799,152463,243503,1690,191
9/22/17,70192,163114,243715,2315,259
9/23/17,62748,165582,243967,4821,322
9/24/17,57503,148926,244277,3681,176
9/25/17,69271,156367,244551,1537,258
9/26/17,71566,156779,244809,1359,257
9/27/17,69942,147977,245051,1268,200
9/28/17,70951,148394,245299,1490,224
9/29/17,67246,141709,245558,1875,288
9/30/17,50200,113613,245923,2694,214
